16/03/2017 10:32 - ANGELO | ID =  | CI = 19819 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
16/03/2017 10:37 - ANGELO | ID =  | CI = 19820 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
16/03/2017 10:41 - ANGELO | ID =  | CI = 19821 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
16/03/2017 10:41 - ANGELO | ID = 16534 | CI = 19821 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
16/03/2017 10:41 - ANGELO | ID = 16534 | CI = 19821 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
16/03/2017 10:43 - ANGELO | ID =  | CI = 19822 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 15.50
16/03/2017 10:45 - ANGELO | ID =  | CI = 19823 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
16/03/2017 12:16 - SANDRA | ID =  | CI = 19825 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 125.68
16/03/2017 12:16 - SANDRA | ID =  | CI = 19825 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 131.08
16/03/2017 12:16 - SANDRA | ID =  | CI = 19825 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 28.00
16/03/2017 12:30 - SANDRA | ID =  | CI = 19827 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 117.60
17/03/2017 06:55 - NORIVAL | ID =  | CI = 19838 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
17/03/2017 06:55 - NORIVAL | ID =  | CI = 19838 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.50
17/03/2017 11:45 - KLEBER | ID =  | CI = 19850 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
17/03/2017 11:45 - KLEBER | ID =  | CI = 19850 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
17/03/2017 11:45 - KLEBER | ID =  | CI = 19850 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 96.60
17/03/2017 11:45 - KLEBER | ID =  | CI = 19850 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
17/03/2017 11:45 - KLEBER | ID =  | CI = 19850 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
17/03/2017 11:45 - KLEBER | ID =  | CI = 19850 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
17/03/2017 14:44 - MARTA | ID =  | CI = 19857 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
17/03/2017 14:44 - MARTA | ID =  | CI = 19857 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 1.90
17/03/2017 14:44 - MARTA | ID =  | CI = 19857 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 109.21
17/03/2017 14:44 - MARTA | ID =  | CI = 19857 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
17/03/2017 14:44 - MARTA | ID =  | CI = 19857 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 300.00
17/03/2017 16:09 - STEFANIAESTEVO | ID =  | CI = 19858 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 291.84
17/03/2017 17:08 - FRANCISCO | ID =  | CI = 19859 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 301.01
17/03/2017 17:08 - FRANCISCO | ID =  | CI = 19859 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 183.35
17/03/2017 17:09 - FRANCISCO | ID = 16562 | CI = 19859 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 301.01
17/03/2017 17:09 - FRANCISCO | ID = 16563 | CI = 19859 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 183.35
17/03/2017 17:09 - FRANCISCO | ID = 16562 | CI = 19859 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 301.01
17/03/2017 17:09 - FRANCISCO | ID = 16563 | CI = 19859 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 183.35
18/03/2017 11:16 - CAIOAUGUSTO | ID =  | CI = 19868 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 60.00
18/03/2017 11:16 - CAIOAUGUSTO | ID =  | CI = 19868 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 136.40
18/03/2017 12:22 - NORIVAL | ID =  | CI = 19869 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 15.03
20/03/2017 08:44 - FRANCISCO | ID =  | CI = 19878 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 140.00
20/03/2017 08:44 - FRANCISCO | ID =  | CI = 19878 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 65.00
