18/11/2015 11:18 - FRANCISCO | ID =  | CI = 13940 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 60.01
18/11/2015 11:18 - FRANCISCO | ID =  | CI = 13940 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.68
18/11/2015 15:29 - LUIDE | ID =  | CI = 13944 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 55.80
19/11/2015 13:59 - FRANCISCO | ID =  | CI = 13948 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.64
19/11/2015 13:59 - FRANCISCO | ID =  | CI = 13948 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 38.00
23/11/2015 08:53 - ROSEMEIRESGOTI | ID =  | CI = 13950 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
23/11/2015 08:53 - ROSEMEIRESGOTI | ID =  | CI = 13950 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
23/11/2015 08:53 - ROSEMEIRESGOTI | ID =  | CI = 13950 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 439.49
23/11/2015 08:53 - ROSEMEIRESGOTI | ID =  | CI = 13950 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
23/11/2015 13:17 - ROBSONMANFRIM | ID =  | CI = 13956 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 140.00
23/11/2015 13:17 - ROBSONMANFRIM | ID =  | CI = 13956 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 27.20
23/11/2015 13:17 - ROBSONMANFRIM | ID =  | CI = 13956 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 137.55
23/11/2015 13:17 - ROBSONMANFRIM | ID =  | CI = 13956 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
23/11/2015 13:17 - ROBSONMANFRIM | ID =  | CI = 13956 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 153.49
23/11/2015 13:17 - ROBSONMANFRIM | ID =  | CI = 13956 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
23/11/2015 15:52 - CRISTIANOALVES | ID =  | CI = 13963 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.63
23/11/2015 16:06 - ROSEMEIRESGOTI | ID =  | CI = 13964 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 137.55
23/11/2015 16:09 - ROSEMEIRESGOTI | ID = 7229 | CI = 13964 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 137.55
24/11/2015 15:01 - HEITOR | ID =  | CI = 13975 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 51.00
24/11/2015 15:01 - HEITOR | ID =  | CI = 13975 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
24/11/2015 15:43 - FRANCISCO | ID =  | CI = 13977 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 65.04
24/11/2015 15:43 - FRANCISCO | ID =  | CI = 13977 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 56.08
25/11/2015 07:54 - LUIDE | ID =  | CI = 13983 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 333.51
25/11/2015 07:54 - LUIDE | ID =  | CI = 13983 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 30.00
26/11/2015 10:17 - JENS | ID =  | CI = 13994 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 110.40
26/11/2015 10:17 - JENS | ID =  | CI = 13994 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 43.20
26/11/2015 11:05 - FRANCISCO | ID =  | CI = 13995 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.02
26/11/2015 11:05 - FRANCISCO | ID =  | CI = 13995 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 57.80
26/11/2015 11:10 - FRANCISCO | ID =  | CI = 13996 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 65.00
26/11/2015 11:10 - FRANCISCO | ID =  | CI = 13996 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 48.70
26/11/2015 15:31 - MARTA | ID =  | CI = 14000 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 117.83
26/11/2015 15:31 - MARTA | ID =  | CI = 14000 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
26/11/2015 15:31 - MARTA | ID =  | CI = 14000 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
26/11/2015 16:33 - LUISMOREIRA | ID =  | CI = 14001 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 53.00
27/11/2015 08:46 - NORIVAL | ID =  | CI = 14002 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 60.01
27/11/2015 08:46 - NORIVAL | ID =  | CI = 14002 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 56.20
30/11/2015 16:15 - SANDRA | ID =  | CI = 14023 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 202.10
30/11/2015 16:15 - SANDRA | ID =  | CI = 14023 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 1.00
