17/01/2017 09:45 - ANGELO | ID =  | CI = 19024 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
18/01/2017 08:56 - ANGELO | ID =  | CI = 19038 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
18/01/2017 14:00 - FRANCISCO | ID =  | CI = 19047 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
18/01/2017 14:00 - FRANCISCO | ID =  | CI = 19047 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 58.00
18/01/2017 14:00 - FRANCISCO | ID =  | CI = 19047 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 180.00
18/01/2017 14:38 - STEFANIAESTEVO | ID =  | CI = 19049 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 151.48
18/01/2017 15:20 - KLEBER | ID =  | CI = 19050 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
18/01/2017 15:20 - KLEBER | ID =  | CI = 19050 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
18/01/2017 15:20 - KLEBER | ID =  | CI = 19050 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 117.00
18/01/2017 15:20 - KLEBER | ID =  | CI = 19050 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
18/01/2017 15:20 - KLEBER | ID =  | CI = 19050 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
18/01/2017 15:20 - KLEBER | ID =  | CI = 19050 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
20/01/2017 08:33 - ANGELO | ID =  | CI = 19067 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
20/01/2017 08:42 - JOISYLOPES | ID =  | CI = 19068 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 3.00
20/01/2017 08:42 - JOISYLOPES | ID =  | CI = 19068 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 12.90
20/01/2017 09:07 - STEFANIAESTEVO | ID =  | CI = 19069 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 63.00
20/01/2017 13:36 - FRANCISCO | ID =  | CI = 19073 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
20/01/2017 13:36 - FRANCISCO | ID =  | CI = 19073 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
20/01/2017 13:36 - FRANCISCO | ID =  | CI = 19073 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 56.23
20/01/2017 13:39 - FRANCISCO | ID = 15452 | CI = 19073 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
20/01/2017 13:39 - FRANCISCO | ID = 15453 | CI = 19073 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
20/01/2017 13:39 - FRANCISCO | ID = 15454 | CI = 19073 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 56.23
20/01/2017 14:07 - FRANCISCO | ID = 15452 | CI = 19073 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
20/01/2017 14:07 - FRANCISCO | ID = 15453 | CI = 19073 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
20/01/2017 14:07 - FRANCISCO | ID = 15454 | CI = 19073 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 56.23
20/01/2017 14:09 - FRANCISCO | ID = 15452 | CI = 19073 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
20/01/2017 14:09 - FRANCISCO | ID = 15453 | CI = 19073 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
