15/05/2017 08:31 - OSVALDOFLORES | ID =  | CI = 20582 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
15/05/2017 08:31 - OSVALDOFLORES | ID =  | CI = 20582 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
15/05/2017 08:31 - OSVALDOFLORES | ID =  | CI = 20582 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
15/05/2017 08:44 - GUSTAVOMELGES | ID =  | CI = 20585 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 708.40
15/05/2017 08:44 - GUSTAVOMELGES | ID =  | CI = 20585 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 155.00
15/05/2017 08:53 - MONICA | ID =  | CI = 20587 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 154.79
15/05/2017 08:53 - MONICA | ID =  | CI = 20587 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
15/05/2017 13:20 - MARTA | ID =  | CI = 20594 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 13.70
15/05/2017 13:20 - MARTA | ID =  | CI = 20594 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
15/05/2017 14:05 - SANDRA | ID =  | CI = 20596 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 65.97
15/05/2017 14:05 - SANDRA | ID =  | CI = 20596 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 165.00
17/05/2017 10:48 - LUCIANOHENRIQUE | ID =  | CI = 20618 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 81.00
17/05/2017 15:51 - MICHELAAUGUSTO | ID =  | CI = 20622 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 57.60
17/05/2017 15:51 - MICHELAAUGUSTO | ID =  | CI = 20622 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 4.00
17/05/2017 15:51 - MICHELAAUGUSTO | ID =  | CI = 20622 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
18/05/2017 09:17 - FRANCISCO | ID =  | CI = 20627 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.00
18/05/2017 09:23 - FRANCISCO | ID =  | CI = 20628 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.01
18/05/2017 09:23 - FRANCISCO | ID =  | CI = 20628 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 119.20
19/05/2017 08:49 - RONALDOGOMES | ID =  | CI = 20636 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.40
19/05/2017 08:49 - RONALDOGOMES | ID =  | CI = 20636 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
19/05/2017 09:03 - RONALDOGOMES | ID =  | CI = 20637 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.40
19/05/2017 09:03 - RONALDOGOMES | ID =  | CI = 20637 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
19/05/2017 09:40 - FRANCISCO | ID =  | CI = 20638 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.10
19/05/2017 11:43 - FRANCISCO | ID =  | CI = 20641 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
19/05/2017 11:43 - FRANCISCO | ID =  | CI = 20641 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 47.10
19/05/2017 16:53 - JENS | ID =  | CI = 20650 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 63.40
19/05/2017 16:53 - JENS | ID =  | CI = 20650 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 94.40
22/05/2017 08:14 - NORIVAL | ID =  | CI = 20659 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 62.25
